ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
403979,"Plateau - Mont-Royal","PMR","I","PMR-I-1000007",1998-08-01,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",1197.196,,,2019-11-15
403980,"Plateau - Mont-Royal","PMR","A","PMR-A-1000029",2006-08-01,2019-09-07,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1211.082,"479.05",,2019-11-14
403560,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000065",2015-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",89.839,,,2019-11-27
403562,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000044",2013-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",90.038,,,2019-12-02
403563,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000042",2013-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",90.09,,,2019-12-02
403617,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000049",2014-07-01,,"Ouverte","Mobilier",,90.326,,,2019-11-26
403486,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000028",2012-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",86.955,,,2019-12-06
403942,"Plateau - Mont-Royal","PMR","H","PMR-H-1000047",2012-08-01,2015-08-01,"Fermée","Plates-bandes","Végétalisée",94.905,"49.97",,2019-11-14
403488,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000003",2010-07-01,,"Partiellement fermée","Mobilier","Asphalté ou bétonnée",87.082,,,2019-11-27
403546,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000057",2014-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Mixte",87.493,,,2019-11-26
403120,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000042",2013-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",105.146,,,2019-12-02
403121,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000068",2015-07-01,,"Partiellement fermée","Plates-bandes et mobilier","Asphalté ou bétonnée",105.191,,,2019-11-27
403173,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000065",2015-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",105.315,,,2019-11-27
405811,"Sud-Ouest","SO","J","SO-J-1004021",2021-09-01,,"Ouverte","Plates-bandes","Mixte",125.697,,,2020-12-18
405814,"Sud-Ouest","SO","A","SO-A-1004002",2017-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",126.096,,,2019-11-04
405816,"Sud-Ouest","SO","A","SO-A-1003003",2014-07-01,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",126.167,,,2019-10-21
406521,"Sud-Ouest","SO","A","SO-A-1004006",2017-07-01,,"Ouverte",,"Gazonnée",217.587,"183",,2019-11-04
406566,"Sud-Ouest","SO","A","SO-A-1004006",2017-07-01,,"Ouverte",,"Mixte",217.642,,,2019-11-04
406422,"Verdun","VRD","H","VRD-H-1020132",2013-06-15,,"Ouverte","Plates-bandes","Asphalté ou bétonnée",631.254,,,2020-11-26
